Date,Age of the respondent,Gender,Organization,Rank,Location,Knowledge on vultures,Knowledge on socio-economic and cultural use of vultures,Knowledge on the conservation status of vultures,Knowledge on existence of National/International law that protects and or regulate trade in vulture specimen,Knowledge on normal channel for licencing or permitting system for transaction in vulture and other wildlife specimen,Knowledge about CITES Appendices,"Knowledge on the Nigeria's CITES regulation, the Endangered Species Act, 2016 (ESA), 2016",Knowledge on application of ESA on all vultures species,Knowledge on the degree of protection ESA accorded vultures,Knowledge on the provision of laws on illegal traders/ smugglers of vultures and other wildlife species,Have you ever heard about CITES,Do you think trade in vulture should be regulated,Opinion on the importance of CITES,Opinion on CITES compliance in Nigeria,Do you think CITES should be implemented in Nigeria,Which of the Appendices are traded most,Doyou think vultures are important in an ecosystem and human life,Account on enforcement challenges encountered regarding illegal traders/smugglers of vultures and other endangered species,"Record of previous arrest, confiscation and or prosecution with regards to illegal vulture transaction",Location of arrest and date,Enforcement action taken on vulture specimen,Have you ever attended any training on CITES enforcement/compliance,Is your organization already collaborating with other agencxies regarding vulture/ wildlife enforcement and CITES compliance,Do you have suggestion on priorities for improving wildlife enforcement action in Nigeria
19/12/2022,32,Male,NIS,Assistant Superintendent of Immigration,Magatari Land Border/Jigawa State,1,NA,1,2,2,2,2,2,3,2,2,1,2,3,1,3,1,2,2,NA,1,2,3,NA
19/12/2022,50,Male,NDLEA,Chief Superintendent of Nercotic,Magatari Land Border/Jigawa State,1,1,2,2,2,2,1,2,3,1,1,1,3,3,1,2,1,NA,2,NA,2,2,3,NA
19/12/2022,39,Male,NCS,Assistant Superintendent of Customs II,Magatari Land Border/Jigawa State,1,1,2,1,1,2,2,2,3,1,2,1,2,3,2,NA,1,2,2,NA,2,2,1,3
20/12/2022,32,Male,NIS,Assistant Superintendent of Immigration II ASI II,Babura Border/Jigawa State,1,1,1,2,2,2,2,2,3,2,2,NA,3,3,1,2,1,NA,2,NA,2,2,2,NA
20/12/2022,29,Male,NIS,NA,Babura Border/Jigawa State,1,1,NA,2,2,2,2,2,3,2,2,1,3,3,1,NA,1,2,2,NA,NA,2,2,NA
20/12/2022,30,Male,NIS,Inspector of Immigration,Babura Border/Jigawa State,1,1,1,1,1,2,1,1,3,2,2,1,3,1,1,NA,1,NA,2,NA,2,2,2,NA
21/12/2022,28,Female,NCS,Inspector of Customs,Kano Airpor/Kano State,1,1,1,2,2,1,1,1,1,1,1,1,3,3,1,2,2,1,1,NA,2,1,1,NA
21/12/2022,38,Male,NCS,Superintendent of Customs,Kano Airpor/Kano State,1,1,1,1,2,1,1,2,3,1,1,2,3,1,1,2,1,2,2,NA,NA,2,1,1
21/12/2022,27,Male,NCS,Assistant Inspector of Customs,Kano Airpor/Kano State,1,1,1,1,1,NA,1,1,2,1,1,2,3,1,1,2,1,2,2,NA,2,2,1,2
21/12/2022,29,Male,NCS,Assistant Inspector of Customs,Kano Airpor/Kano State,1,1,1,2,2,1,1,1,2,1,1,2,3,3,1,2,1,2,1,2,2,2,1,NA
21/12/2022,38,Male,NCS,Chief Superintendent of Customs,Kano Airpor/Kano State,1,1,1,2,2,2,2,1,3,1,1,1,2,3,1,2,2,2,1,2,2,2,2,1
21/12/2022,37,Male,NCS,Assistant Superintendent of Customs,Kano Airpor/Kano State,1,NA,1,2,2,2,1,2,3,1,1,1,3,3,1,3,2,2,NA,NA,2,2,NA,NA
21/12/2022,30,Male,NCS,Assistant Superintendent of Customs,Kano Airpor/Kano State,2,1,1,2,2,1,2,2,3,2,1,2,3,1,1,2,1,NA,2,NA,2,1,1,1
21/12/2022,47,Male,NCS,Superintendent of Customs,Kano Airpor/Kano State,1,2,2,2,2,2,2,2,3,1,1,NA,3,1,1,2,2,2,NA,2,2,2,1,NA
22/12/2022,45,Male,KSSMB,Deputy Director Admin,Kano Airpor/Kano State,1,1,1,1,2,2,2,2,2,2,1,1,3,3,2,2,1,2,1,NA,1,1,1,NA
22/12/2022,43,Male,SON,NA,Kano Airpor/Kano State,1,1,1,1,2,2,NA,1,3,1,1,1,2,3,1,NA,1,2,2,NA,2,2,2,NA
22/12/2022,60,Male,SAHCO,Cargo Offier,Kano Airpor/Kano State,1,NA,1,1,1,1,1,1,2,1,2,1,3,3,1,2,1,1,2,NA,2,2,1,NA
23/12/2022,57,Male,NAQS,Admin Officer,Kano Airpor/Kano State,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,NA,2,NA,2,2,1,3
23/12/2022,54,Male,NAQS,Assistant Comptroller of Quarantine,Kano Airpor/Kano State,1,1,1,1,1,1,1,1,2,1,NA,1,3,1,1,2,1,1,2,NA,2,1,1,NA
23/12/2022,42,Male,NDLEA,Superintendent of Nercotic,Kano Airpor/Kano State,1,1,1,2,2,2,1,2,3,2,2,1,3,3,1,2,1,2,2,NA,2,2,2,NA
23/12/2022,32,Female,NDLEA,Deputy Superintendent of Nercotic,Kano Airpor/Kano State,1,1,1,2,2,2,2,2,3,2,2,1,3,3,1,3,1,NA,2,NA,2,2,2,NA
23/12/2022,46,Female,NDLEA,NA,Kano Airpor/Kano State,1,1,1,2,2,2,2,2,3,2,2,1,3,3,1,NA,1,NA,2,NA,2,2,2,NA
09/01/2023,35,Female,NESREA,Scientific Officer I,Kano Zonal Office/Kano State,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,NA,2,1,1,NA
09/01/2023,32,Male,NESREA,Scientific Officer II,Kano Zonal Office/Kano State,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,NA,1,2,NA,NA,2,2,1,4
09/01/2023,43,Male,NESREA,Assistant Chief Technical Officer,Kano Zonal Office/Kano State,1,1,1,1,1,1,2,2,3,1,1,1,3,1,1,2,1,2,2,NA,2,1,1,2
09/01/2023,34,Male,NESREA,Scientific Officer II,Kano Zonal Office/Kano State,1,1,2,1,1,2,1,1,3,1,1,1,3,3,1,3,1,1,2,NA,2,2,1,3
09/01/2023,31,Male,NESREA,Archtech II,Kano Zonal Office/Kano State,1,1,1,1,1,NA,1,1,2,1,1,1,3,3,1,NA,1,2,2,NA,2,2,1,NA
09/01/2023,33,Male,NESREA,Principal Geologist,Kano Zonal Office/Kano State,1,NA,2,1,1,1,1,1,3,1,1,1,3,1,1,2,1,1,1,2,2,2,1,2
09/01/2023,42,Male,NESREA,Principal Accountant,Kano Zonal Office/Kano State,1,NA,1,1,1,1,1,2,3,1,1,1,3,3,1,1,1,2,1,NA,2,1,1,3
09/01/2023,36,Male,NESREA,Senior Engeneer,Kano Zonal Office/Kano State,1,1,2,1,2,1,1,2,3,1,1,1,3,1,1,3,1,1,1,NA,2,1,1,2
09/01/2023,32,Male,NESREA,Scientific Officer II,Kano Zonal Office/Kano State,1,1,1,1,1,1,1,1,3,1,1,1,3,2,1,1,1,2,2,NA,2,2,1,2
09/01/2023,35,Male,NESREA,Senior Scientific Officer,Kano Zonal Office/Kano State,1,1,1,1,1,2,1,1,3,1,1,2,2,3,1,NA,1,NA,1,1,2,2,1,NA
09/01/2023,40,Male,NESREA,Senior Scientific Officer,Kano Zonal Office/Kano State,1,1,1,1,1,1,2,1,3,1,1,1,3,1,1,2,1,1,1,1,2,2,1,NA
09/01/2023,43,Male,NESREA,Principal Scientific Officer,Kano Zonal Office/Kano State,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,2,2,1,2
09/01/2023,48,Male,NESREA,Principal Scientific Officer,Kano Zonal Office/Kano State,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,NA,1,1,1,1,2,2,1,NA
09/01/2023,43,Male,NESREA,Assistant Chief ,Kano Zonal Office/Kano State,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,2,2,2,2,2,1,NA
09/01/2023,39,Male,NESREA,Senior Scientific Officer,Kano Zonal Office/Kano State,2,1,2,2,2,2,2,1,3,2,2,2,3,1,2,2,2,NA,1,NA,NA,2,2,NA
10/01/2023,33,Male,NIS,Assistant Superintendent of Immigration,Kano Airpor/Kano State,1,1,1,2,1,2,2,2,3,1,2,1,3,1,1,NA,1,1,2,NA,2,2,2,NA
10/01/2023,49,Male,NIS,Assistant Chief of Immigration,Kano Airpor/Kano State,1,1,2,2,2,2,2,2,3,1,2,1,3,3,1,NA,2,NA,2,NA,2,2,2,2
10/01/2023,40,Male,NIS,Superintendent of Immigration,Kano Airpor/Kano State,1,1,2,1,1,2,2,2,3,1,1,1,3,3,1,3,1,2,2,NA,2,2,2,2
10/01/2023,36,Male,NIS,Deputy Superintendent of Immigration,Kano Airpor/Kano State,1,1,2,2,2,2,2,1,2,1,2,1,3,2,1,2,1,2,2,NA,2,2,2,3
10/01/2023,45,Male,NIS,Assistant Superintendent of Immigration,Kano Airpor/Kano State,1,1,1,1,2,2,2,2,3,2,NA,1,3,2,1,3,2,2,2,NA,2,2,NA,3
10/01/2023,43,Male,NIS,Chief Superintendent of Immigration,kano airpor/Kano State,1,1,2,2,1,2,2,2,3,1,1,1,3,2,1,NA,2,2,2,NA,2,2,2,2
10/01/2023,29,Female,NIS,Immigration Assistant,Kano Airpor/Kano State,1,1,2,2,2,2,2,2,3,2,2,1,3,3,1,2,1,2,2,NA,2,2,1,1
